type,space,price,area_price,address,metro,time_to_metro,date,source
2-к. квартира,52,14 500 000₽,278 311 ₽,"Морская наб., 27к1",Приморская,30,24.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_521_m_712_et._7961779301?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,45,7 800 000₽,171 053 ₽,"Северный пр-т, 89к4",Академическая,30,20.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_456_m_35_et._7852055994?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
Квартира-студия,18,5 355 000₽,297 500 ₽,"Большая Конюшенная ул., 27",Невский проспект,5,20.01.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18_m_25_et._7927419174?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
6-к. квартира,186,48 800 000₽,261 803 ₽,"аллея Поликарпова, 2",Пионерская,5,23.09.2025,https://www.avito.ru/sankt-peterburg/kvartiry/6-k._kvartira_1864_m_1718_et._7624419499?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,44,12 000 000₽,270 270 ₽,"Гороховая ул., 71Б",Пушкинская,5,18.05.2024,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_444_m_14_et._4417595310?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
3-к. квартира,42,7 500 000₽,178 571 ₽,"б-р Новаторов, 49",Ленинский проспект,10,26.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_42_m_15_et._7920835877?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
1-к. квартира,29,5 900 000₽,202 055 ₽,"Искровский пр-т, 30",Улица Дыбенко,15,06.11.2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_292_m_19_et._7772288384?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
Квартира-студия,23,5 832 000₽,244 017 ₽,"ул. Ивана Фомина, 8",Проспект Просвещения,15,14.10.2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_239_m_39_et._7766892857?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,44,8 900 000₽,200 450 ₽,"Ланское ш., 12к3",Чёрная речка,15,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_444_m_45_et._7884659117?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,44,8 600 000₽,192 825 ₽,"Ленинский пр-т, 172",Московская,10,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446_m_25_et._7902733182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,65,14 500 000₽,223 077 ₽,"Казанская ул., 41",Садовая,10,08.08.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_65_m_24_et._7577932685?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,92,38 500 000₽,417 570 ₽,"Шпалерная ул., 50",Чернышевская,15,06.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_922_m_34_et._7752857345?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
1-к. квартира,29,6 100 000₽,205 387 ₽,"Русановская ул., 16к3",Обухово,31,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_297_m_2123_et._7947484484?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,45,11 800 000₽,258 772 ₽,"Бассейная ул., 17",Парк Победы,15,15.02.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_456_m_45_et._4676803205?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
3-к. квартира,79,18 200 000₽,230 380 ₽,"Южное ш., 45к3",Проспект Славы,20,19.01.2026,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_79_m_225_et._7854790916?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
Квартира-студия,26,7 490 000₽,282 642 ₽,"Коломенская ул., 42",Лиговский проспект,5,24.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_265_m_34_et._7889776147?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
4-к. квартира,49,8 990 000₽,183 469 ₽,"Кубинская ул., 70к2",Ленинский проспект,20,20.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_49_m_35_et._7852627325?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
1-к. квартира,33,9 000 000₽,265 487 ₽,"Гражданский пр-т, 4",Площадь Мужества,15,07.11.2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_339_m_710_et._7730147455?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
Квартира-студия,26,6 300 000₽,237 736 ₽,"пос. Парголово, ул. Николая Рубцова, 3",Парнас,20,26.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_265_m_526_et._7973779141?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
1-к. квартира,31,10 500 000₽,338 710 ₽,"Лиговский пр-т, 257",Обводный канал,10,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31_m_25_et._7961883735?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,50,11 500 000₽,230 000 ₽,"Стародеревенская ул., 29",Комендантский проспект,10,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50_m_216_et._7902782488?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
Квартира-студия,30,9 000 000₽,300 000 ₽,"Богословская ул., 4к4",Площадь Мужества,30,20.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_30_m_1825_et._7960939336?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
Апартаменты-студия,11,1 950 000₽,177 273 ₽,"Сестрорецкая ул., 3",Чёрная речка,10,09.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_11_m_15_et._7877633283?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,57,19 999 999₽,350 877 ₽,"ул. Дыбенко, 8к2",Улица Дыбенко,20,07.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57_m_1623_et._7761099602?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
1-к. квартира,37,9 700 000₽,262 162 ₽,"ул. Белышева, 5/6",Проспект Большевиков,20,23.10.2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37_m_1417_et._7744525980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWG5NOUJHRlppYTBMQ3B2Ijt9tCkzeD8AAAA
2-к. квартира,50,11 500 000₽,230 000 ₽,"Стародеревенская ул., 29",Комендантский проспект,10,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50_m_216_et._7902782488?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Квартира-студия,30,9 000 000₽,300 000 ₽,"Богословская ул., 4к4",Площадь Мужества,30,20.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_30_m_1825_et._7960939336?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Апартаменты-студия,11,1 950 000₽,177 273 ₽,"Сестрорецкая ул., 3",Чёрная речка,10,09.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_11_m_15_et._7877633283?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
1-к. квартира,37,9 700 000₽,262 162 ₽,"ул. Белышева, 5/6",Проспект Большевиков,20,23.10.2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37_m_1417_et._7744525980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
2-к. квартира,57,19 999 999₽,350 877 ₽,"ул. Дыбенко, 8к2",Улица Дыбенко,20,07.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57_m_1623_et._7761099602?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
1-к. квартира,30,8 500 000₽,283 333 ₽,"ул. Ольги Форш, 11к1",Гражданский проспект,20,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_30_m_15_et._7920112981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
1-к. апартаменты,27,7 203 600₽,261 000 ₽,"ул. Ивана Фомина, 8",Проспект Просвещения,15,18.07.2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_276_m_59_et._7542952830?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Квартира-студия,28,6 946 835₽,242 050 ₽,"ул. Ивана Фомина, 8",Проспект Просвещения,15,03.10.2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_287_m_29_et._7734472897?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Квартира-студия,20,7 600 000₽,380 000 ₽,"Большая Пушкарская ул., 21",Чкаловская,10,04.09.2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20_m_25_et._7643182208?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Квартира-студия,23,6 400 000₽,272 340 ₽,"Комендантский пр-т, 69",Комендантский проспект,31,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_235_m_1625_et._7999387997?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
3-к. квартира,85,23 500 000₽,276 471 ₽,"Будапештская ул., 17к3",Международная,10,09.12.2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_85_m_612_et._7833463772?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Квартира-студия,22,5 200 000₽,235 294 ₽,"пос. Шушары, Новгородский пр-т, 4",Купчино,31,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_221_m_1325_et._7946993601?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
3-к. квартира,70,18 755 000₽,267 929 ₽,"пр-т Солидарности, 14к1",Улица Дыбенко,20,20.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_70_m_1216_et._7961054684?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
Аукцион: 1-к. квартира,30,от 7 112 000₽,231 661 ₽,"Вилькицкий б-р, 6",Приморская,30,27.02.2026,https://www.avito.ru/sankt-peterburg/kvartiry/auktsion_1-k._kvartira_307_m_1819_et._7928893364?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOMFdvVEtuT3RZRTY1TFd0Ijt9Veslrj8AAAA
