type,space,price,area_price,address,metro,time_to_metro,date,source
Квартира-студия,30 м²,5 750 000₽,191667²,"Садовая ул., 32/1",Сенная площадь,до 5 мин.,26 января 20:53,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_30_m_46_et._7906561431?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,36 м²,5 800 000₽,161111²,"пос. Парголово, Тихоокеанская ул., 1к1",,,2 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36_m_1025_et._7817505059?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,13 м²,3 180 000₽,244615²,"Оборонная ул., 29",Нарвская,11–15 мин.,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_13_m_12_et._7932680676?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,32,6 500 000₽,198777²,"Бассейная ул., 3",Парк Победы,16–20 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_327_m_35_et._7930185248?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,50 м²,12 450 000₽,249000²,"Орбитальная ул., 5",,,26 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50_m_55_et._7559701007?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,32 м²,8 875 000₽,277344²,"пр-т Маршала Жукова, 26/16",Юго-Западная,до 5 мин.,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32_m_89_et._7969357195?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
4-к. квартира,95,14 200 000₽,149317²,"Шлиссельбургский пр-т, 14к1",Рыбацкое,11–15 мин.,27 ноября 2023,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_951_m_412_et._3544814291?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,34,7 500 000₽,218659²,"пос. Парголово, Толубеевский пр., 14к1",Парнас,16–20 мин.,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_343_m_2527_et._7977672712?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,29 м²,5 799 900₽,199997²,"ул. Евдокима Огнева, 10к1",Улица Дыбенко,16–20 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_29_m_45_et._7890288847?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,29,5 200 000₽,177474²,"Русановская ул., 18к8",Обухово,от 31 мин.,8 февраля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_293_m_1624_et._4637075203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,51 м²,12 500 000₽,245098²,"ул. Ушинского, 31",Гражданский проспект,6–10 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_51_m_59_et._8045891535?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,41 м²,6 700 000₽,163415²,"д. Новосаратовка, ул. Первых, 4к3",Рыбацкое,от 31 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_41_m_922_et._7889630125?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,54,11 750 000₽,215201²,"Пулковское ш., 13к4",Московская,21–30 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_546_m_312_et._7968761140?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,45,6 700 000₽,146608²,"ул. Буренина, 6",,,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_457_m_25_et._8013720142?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,45 м²,6 900 000₽,153333²,"ул. Бабушкина, 89к3",Ломоносовская,6–10 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45_m_25_et._7990085641?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,51,9 000 000₽,174757²,"пр-т Солидарности, 7к1",Проспект Большевиков,11–15 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_515_m_89_et._7890283760?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,27 м²,6 200 000₽,229630²,"Арцеуловская аллея, 15",,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27_m_118_et._7884118706?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
