type,space,price,area_price,address,metro,subtitle,date,source
2-к. квартира,45,11 250 000₽,,"Северный пр-т, 24к1","Озерки ,21–30 мин.",,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_451_m_29_et._7973389268?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
2-к. квартира,47,7 500 000₽,,"Петергофское ш., 1к1","Юго-Западная ,21–30 мин.",,14 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_477_m_89_et._7724547072?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
3-к. квартира,56,8 400 000₽,,"пр-т Металлистов, 77","Выборгская ,от 31 мин.",,24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_562_m_55_et._7788474933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,37,9 590 000₽,,"пос. Парголово, Заречная ул., 13к3","Парнас ,16–20 мин.",,20 января 11:35,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_377_m_1919_et._7816729060?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,36,7 700 000₽,,"ул. Хошимина, 11к3","Проспект Просвещения ,6–10 мин.",,24 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_368_m_89_et._7818853186?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
2-к. квартира,66,15 000 000₽,,"ул. Маршала Казакова, 12к4","Юго-Западная ,6–10 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_668_m_211_et._7931919639?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
2-к. квартира,59,12 600 000₽,,"пос. Парголово, Заречная ул., 19к1","Парнас ,11–15 мин.",,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_594_m_1319_et._7920776264?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
3-к. квартира,79,13 000 000₽,,"Муринская дорога, 84","Девяткино ,16–20 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_799_m_318_et._7870220820?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
1-к. квартира,32,8 600 000₽,,"Светлановский пр-т, 37","Политехническая ,16–20 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_321_m_910_et._7939202307?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
1-к. квартира,43,10 600 000₽,,"2-я Жерновская ул., 29к1",,,10 января 13:18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_431_m_27_et._7806326937?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
1-к. квартира,40 м²,11 999 000₽,,"Приморский пр-т, 157к2","Беговая ,6–10 мин.",,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_40_m_612_et._7929462056?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
2-к. квартира,45,11 250 000₽,,"Северный пр-т, 24к1","Озерки ,21–30 мин.",,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_451_m_29_et._7973389268?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
2-к. квартира,47,7 500 000₽,,"Петергофское ш., 1к1","Юго-Западная ,21–30 мин.",,14 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_477_m_89_et._7724547072?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
Квартира-студия,24,6 500 000₽,,"Плесецкая ул., 20к1","Комендантский проспект ,от 31 мин.",,26 февраля 2020,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_625_et._1880183062?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
3-к. квартира,56,8 400 000₽,,"пр-т Металлистов, 77","Выборгская ,от 31 мин.",,24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_562_m_55_et._7788474933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
1-к. квартира,37,9 590 000₽,,"пос. Парголово, Заречная ул., 13к3","Парнас ,16–20 мин.",,20 января 11:35,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_377_m_1919_et._7816729060?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
1-к. квартира,36,7 700 000₽,,"ул. Хошимина, 11к3","Проспект Просвещения ,6–10 мин.",,24 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_368_m_89_et._7818853186?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
2-к. квартира,66,15 000 000₽,,"ул. Маршала Казакова, 12к4","Юго-Западная ,6–10 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_668_m_211_et._7931919639?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwMk5wQnVabGpDR1FnNE1WIjt9JkdWvD8AAAA
