type,space,price,area_price,address,metro,subtitle,date,source
2-к. квартира,43,7 400 000₽,,"ул. Орджоникидзе, 7","Московская ,11–15 мин.",,13 января 17:29,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_436_m_45_et._7825000702?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,37,8 300 000₽,,"пр-т Просвещения, 53к1","Гражданский проспект ,21–30 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_371_m_610_et._7852725872?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,45,7 750 000₽,,"пр-т Культуры, 29к1","Гражданский проспект ,от 31 мин.",,29 июля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_458_m_79_et._7546064051?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,50 м²,8 500 000₽,,"ул. Крыленко, 21к2","Улица Дыбенко ,16–20 мин.",,13 января 15:26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50_m_79_et._7854491564?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,76,16 500 000₽,,"ул. Маяковского, 18","Маяковская ,6–10 мин.",,12 мая 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_763_m_44_et._7383302725?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,33,5 200 000₽,,"Запорожская ул., 23к2","Обухово ,6–10 мин.",,25 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_331_m_713_et._7510257348?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,42,10 700 000₽,,"Богатырский пр-т, 25к1","Комендантский проспект ,11–15 мин.",,8 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_423_m_214_et._7822189455?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,36,8 200 000₽,,"ул. Лёни Голикова, 27к2","Проспект Ветеранов ,16–20 мин.",,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_366_m_914_et._7977372466?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,36,8 500 000₽,,"пр-т Ветеранов, 118к2","Проспект Ветеранов ,от 31 мин.",,11 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_366_m_210_et._7910229890?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Квартира-студия,26,7 300 000₽,,"Планерная ул., 87к1","Комендантский проспект ,от 31 мин.",,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_263_m_213_et._7967056723?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Апартаменты-студия,23 м²,5 600 000₽,,"ул. Ленина, 28","Чкаловская ,6–10 мин.",,19 января 19:27,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_23_m_15_et._7906105810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Апартаменты-студия,17,4 200 000₽,,"Большой Сампсониевский пр-т, 74к2","Лесная ,6–10 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_171_m_1114_et._7888635506?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Квартира-студия,24,9 996 000₽,,"Уральская ул., 25","Приморская ,16–20 мин.",,20 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_244_m_312_et._7728690110?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,55 м²,9 500 000₽,,"Шлиссельбургский пр-т, 32к2","Рыбацкое ,11–15 мин.",,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55_m_912_et._7925454237?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,37,13 400 000₽,,"пр-т Героев, 31",,,2 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_374_m_1822_et._7589357489?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
